date,GISS,HAD,NOAA
8/11/2016 13:12,2.32,1,1
8/11/2016 13:12,0.93,1,1
8/11/2016 13:12,0.11,1,1
8/11/2016 13:12,0.93,1,1
8/11/2016 13:12,0.11,1,1
8/11/2016 13:12,0.93,1,1
8/11/2016 13:12,1,0.11,1
8/11/2016 13:12,2.32,1,1
8/11/2016 13:12,0.06,1,1
8/11/2016 13:12,0.51,1,1
8/11/2016 13:12,1,1,1
8/11/2016 13:13,1,0.06,1
8/11/2016 13:13,0.11,1,1
8/11/2016 13:13,0.93,1,1
8/11/2016 13:13,0.11,1,1
8/11/2016 13:14,0.11,1,1
8/11/2016 13:14,0.06,1,1
8/11/2016 13:14,1,1,1
8/11/2016 13:14,2.32,1,1
8/11/2016 13:14,0.06,1,1
8/11/2016 13:15,0.11,1,1
8/11/2016 13:15,1,0.93,1
8/11/2016 13:15,0.11,1,1
8/11/2016 13:15,0.93,1,1
8/11/2016 13:15,2.32,1,1
8/11/2016 13:15,0.11,1,1
8/11/2016 13:15,0.51,1,1
8/11/2016 13:16,0.11,1,1
8/11/2016 13:16,0.11,1,1
8/11/2016 13:17,21.27,1,1
8/11/2016 13:17,1,1,1
8/11/2016 13:17,0.06,1,1
8/11/2016 13:17,0.11,1,1
8/11/2016 13:17,1,1,1
8/11/2016 13:18,2.32,1,1
8/11/2016 13:18,0.06,1,1
8/11/2016 13:18,0.11,1,1
8/11/2016 13:18,0.11,1,1
8/11/2016 13:18,2.32,1,1
8/11/2016 13:19,3.6,1,1
8/11/2016 13:20,0.11,1,1
8/11/2016 13:20,0.11,1,1
8/11/2016 13:20,0.11,1,1
8/11/2016 13:20,1,1,0.11
8/11/2016 13:20,0.11,1,1
8/11/2016 13:21,19.72,1,1
8/11/2016 13:21,1.01,1,1
8/11/2016 13:21,0.06,1,1
8/11/2016 13:21,1,0.11,1
8/11/2016 13:21,1.82,1,1
8/11/2016 13:21,0.11,1,1
8/11/2016 13:21,0.06,1,1
8/11/2016 13:22,2.32,1,1
8/11/2016 13:22,0.11,1,1
8/11/2016 13:22,1.89,1,1
8/11/2016 13:22,1,1,19.72
8/11/2016 13:22,1,1,1
8/11/2016 13:22,0.11,1,1
8/11/2016 13:22,0.11,1,1
8/11/2016 13:22,0.06,1,1
8/11/2016 13:22,0.11,1,1
8/11/2016 13:23,0.06,1,1
8/11/2016 13:23,1,1,1
8/11/2016 13:23,0.93,1,1
8/11/2016 13:24,0.06,1,1
8/11/2016 13:24,0.04,1,1
8/11/2016 13:25,1,19.72,1
8/11/2016 13:25,0.36,1,1
8/11/2016 13:25,1,1.82,1
8/11/2016 13:26,1,0.11,1
8/11/2016 13:26,1,0.06,1
8/11/2016 13:26,0.06,1,1
8/11/2016 13:26,0.06,1,1
8/11/2016 13:26,0.04,1,1
8/11/2016 13:26,1,2.32,1
8/11/2016 13:26,1,1,1
8/11/2016 13:27,0.11,1,1
8/11/2016 13:27,0.06,1,1
8/11/2016 13:27,1,1,1
8/11/2016 13:28,1.08,1,1
8/11/2016 13:28,1,1.82,1
8/11/2016 13:28,0.11,1,1
8/11/2016 13:28,1.89,1,1
8/11/2016 13:28,0.11,1,1
8/11/2016 13:28,1,19.72,1
8/11/2016 13:28,1,19.72,1
8/11/2016 13:28,0.06,1,1
8/11/2016 13:29,0.06,1,1
8/11/2016 13:29,0.11,1,1
8/11/2016 13:29,0.06,1,1
8/11/2016 13:30,0.11,1,1
8/11/2016 13:30,1,21.27,1
8/11/2016 13:30,1,2.78,1
8/11/2016 13:30,1,1,57.63
8/11/2016 13:31,1,38.67,1
8/11/2016 13:31,0.06,1,1
8/11/2016 13:31,1,1,1
8/11/2016 13:31,0.11,1,1
8/11/2016 13:31,1,0.11,1
8/11/2016 13:31,1,1,1
8/11/2016 13:31,1,1,0.51
8/11/2016 13:31,1,0.04,1
8/11/2016 13:31,0.93,1,1
8/11/2016 13:32,0.11,1,1
8/11/2016 13:32,2.32,1,1
8/11/2016 13:32,1,1,1
8/11/2016 13:32,0.11,1,1
8/11/2016 13:32,0.11,1,1
8/11/2016 13:32,0.11,1,1
8/11/2016 13:33,0.11,1,1
8/11/2016 13:33,1,1,1
8/11/2016 13:33,1,0.06,1
8/11/2016 13:33,1,1,1
8/11/2016 13:34,56.07,1,1
8/11/2016 13:34,1,1.82,1
8/11/2016 13:34,1.82,1,1
8/11/2016 13:34,0.11,1,1
8/11/2016 13:34,0.11,1,1
8/11/2016 13:34,0.06,1,1
8/11/2016 13:34,1,0.93,1
8/11/2016 13:34,0.11,1,1
8/11/2016 13:34,0.11,1,1
8/11/2016 13:34,1,1,0.06
8/11/2016 13:35,1,1,1
8/11/2016 13:35,1,1,1
8/11/2016 13:35,1.82,1,1
8/11/2016 13:35,0.06,1,1
8/11/2016 13:35,0.06,1,1
8/11/2016 13:35,0.06,1,1
8/11/2016 13:35,1,0.11,1
8/11/2016 13:35,1,0.06,1
8/11/2016 13:35,0.11,1,1
8/11/2016 13:35,0.93,1,1
8/11/2016 13:35,0.11,1,1
8/11/2016 13:36,0.97,1,1
8/11/2016 13:36,1,0.51,1
8/11/2016 13:36,0.51,1,1
8/11/2016 13:36,1,1,1
8/11/2016 13:36,1,0.51,1
8/11/2016 13:36,1,1,1
8/11/2016 13:37,1,1,1
8/11/2016 13:37,57.63,1,1
8/11/2016 13:37,2.32,1,1
8/11/2016 13:37,0.04,1,1
8/11/2016 13:37,1.82,1,1
8/11/2016 13:37,0.06,1,1
8/11/2016 13:37,1,1,0.51
8/11/2016 13:37,1,1,1
8/11/2016 13:38,0.06,1,1
8/11/2016 13:38,1,1,1
8/11/2016 13:38,0.93,1,1
8/11/2016 13:38,1,1,1
8/11/2016 13:38,0.55,1,1
8/11/2016 13:38,1,1,1
8/11/2016 13:39,1,1,0.93
8/11/2016 13:39,0.04,1,1
8/11/2016 13:39,0.06,1,1
8/11/2016 13:39,0.47,1,1
8/11/2016 13:39,1,0.93,1
8/11/2016 13:40,1,1,0.93
8/11/2016 13:40,0.06,1,1
8/11/2016 13:40,1,1,1
8/11/2016 13:40,0.93,1,1
8/11/2016 13:40,1,1,19.72
8/11/2016 13:41,38.67,1,1
8/11/2016 13:41,1.89,1,1
8/11/2016 13:41,0.35,1,1
8/11/2016 13:41,1,0.35,1
8/11/2016 13:41,0.47,1,1
8/11/2016 13:41,0.06,1,1
8/11/2016 13:41,2.32,1,1
8/11/2016 13:41,0.11,1,1
8/11/2016 13:41,0.11,1,1
8/11/2016 13:41,0.11,1,1
8/11/2016 13:42,1,0.11,1
8/11/2016 13:42,1,0.11,1
8/11/2016 13:42,0.06,1,1
8/11/2016 13:42,0.04,1,1
8/11/2016 13:42,0.51,1,1
8/11/2016 13:42,0.11,1,1
8/11/2016 13:42,1,0.47,1
8/11/2016 13:43,1,0.11,1
8/11/2016 13:43,0.11,1,1
8/11/2016 13:43,1,0.11,1
8/11/2016 13:43,1,2.32,1
8/11/2016 13:43,1,0.93,1
8/11/2016 13:43,1,1,1
8/11/2016 13:44,0.11,1,1
8/11/2016 13:44,0.11,1,1
8/11/2016 13:44,0.11,1,1
8/11/2016 13:45,38.67,1,1
8/11/2016 13:45,1,1,0.93
8/11/2016 13:45,0.06,1,1
8/11/2016 13:45,1,0.51,1
8/11/2016 13:45,2.32,1,1
8/11/2016 13:45,0.11,1,1
8/11/2016 13:45,0.11,1,1
8/11/2016 13:45,0.11,1,1
